manager,from_quarter,to_quarter,nameOfIssuer,cusip,change,value_before_k,value_after_k
Meridian Peak Capital Management,2025Q1,2025Q2,Lumen Capital PLC,8P5RFATUI,EXIT,13179,0
Meridian Peak Capital Management,2025Q1,2025Q2,Pinnacle Cloud Group,G2LFMHVKC,EXIT,10928,0
Meridian Peak Capital Management,2025Q1,2025Q2,Copper Systems Ltd,J9H15WQ7V,EXIT,12251,0
Meridian Peak Capital Management,2025Q1,2025Q2,Copper Systems PLC,WLU7MFX0U,ADD,79729,89318
Meridian Peak Capital Management,2025Q1,2025Q2,Copper Robotics Inc,ZPO3B7PU8,ADD,6666,7150
Meridian Peak Capital Management,2025Q1,2025Q2,Sable Systems Ltd,QPH9E29MS,NEW,0,96149
Meridian Peak Capital Management,2025Q1,2025Q2,Vertex Health Co,7ZLEWKDCP,ADD,4358,8585
Meridian Peak Capital Management,2025Q1,2025Q2,Lumen Systems Corp,D78MFRF4F,TRIM,6883,6599
Meridian Peak Capital Management,2025Q1,2025Q2,Aster Micro Group,FCGZIWI3B,TRIM,4915,1070
Meridian Peak Capital Management,2025Q1,2025Q2,Zephyr Industries Co,NTL2E1KTK,TRIM,3407,3356
Meridian Peak Capital Management,2025Q1,2025Q2,Quill Analytics Co,NU7IDBR4S,TRIM,7340,6339
Meridian Peak Capital Management,2025Q1,2025Q2,Bright Motors Group,OHU89X4E4,TRIM,8149,7769
Meridian Peak Capital Management,2025Q1,2025Q2,Solace Networks PLC,E3610AXVL,EXIT,24460,0
Meridian Peak Capital Management,2025Q1,2025Q2,Pinnacle Analytics Corp,CB79HC2Y8,TRIM,7482,7206
Meridian Peak Capital Management,2025Q1,2025Q2,Onyx Industries Inc,3HILY6I06,NEW,0,10365
Meridian Peak Capital Management,2025Q1,2025Q2,Zephyr Materials Inc,C8PF5IU2U,ADD,2924,3018
Meridian Peak Capital Management,2025Q1,2025Q2,Cobalt Micro PLC,DX9J3AVYW,TRIM,20152,8156
Meridian Peak Capital Management,2025Q1,2025Q2,Nova Analytics Ltd,CS8KWJ20I,ADD,3932,3972
Meridian Peak Capital Management,2025Q1,2025Q2,Drift Dynamics PLC,5GYFQWLY6,NEW,0,4649
Meridian Peak Capital Management,2025Q1,2025Q2,Cedar Industries Co,0C9QYEL4U,ADD,97598,250128
Meridian Peak Capital Management,2025Q1,2025Q2,Onyx Holdings PLC,NQQULCQYB,TRIM,35894,33942
Meridian Peak Capital Management,2025Q1,2025Q2,Marlin Holdings Ltd,7M7E2CQWH,ADD,2206,2278
Meridian Peak Capital Management,2025Q1,2025Q2,Marlin Motors Corp,DHXKXFMXK,EXIT,20331,0
Meridian Peak Capital Management,2025Q1,2025Q2,Terra Analytics Corp,R4SQPR953,TRIM,14988,14071
Meridian Peak Capital Management,2025Q1,2025Q2,Halcyon Semiconductor Group,KIK6CQODD,TRIM,16665,14487
Meridian Peak Capital Management,2025Q1,2025Q2,Onyx Therapeutics Group,5QDNT0U9N,TRIM,931,792
Meridian Peak Capital Management,2025Q1,2025Q2,Nova Semiconductor Inc,FWJC2H0QN,EXIT,6266,0
Meridian Peak Capital Management,2025Q1,2025Q2,Terra Holdings Group,YP72EM277,TRIM,31248,18388
Meridian Peak Capital Management,2025Q1,2025Q2,Quill Energy Inc,YTHF7R2UF,ADD,3884,4115
Meridian Peak Capital Management,2025Q1,2025Q2,Pinnacle Semiconductor Group,MKJOTE8L8,TRIM,32003,30548
Meridian Peak Capital Management,2025Q1,2025Q2,Sable Foods Co,L8SGBI2BF,NEW,0,2340
Meridian Peak Capital Management,2025Q1,2025Q2,Fable Cloud Group,CEFX3OILC,ADD,2283,2622
Meridian Peak Capital Management,2025Q1,2025Q2,Quill Software Inc,7IBWMKW1Z,ADD,2297,5768
Meridian Peak Capital Management,2025Q1,2025Q2,Vantage Systems Corp,Q8HXZ554L,TRIM,20888,20465
Meridian Peak Capital Management,2025Q1,2025Q2,Pinnacle Semiconductor Ltd,P4OJLBI2R,ADD,2376,2377
Meridian Peak Capital Management,2025Q1,2025Q2,Granite Semiconductor Co,H8BZP9SGM,ADD,12408,14119
Meridian Peak Capital Management,2025Q1,2025Q2,Zephyr Bioworks Inc,NTCB897L3,TRIM,9613,8439
Meridian Peak Capital Management,2025Q1,2025Q2,Solace Dynamics Group,45G3ZSWHA,NEW,0,10964
Meridian Peak Capital Management,2025Q1,2025Q2,Quill Capital Inc,Q0XPTSR3I,TRIM,18048,16965
Meridian Peak Capital Management,2025Q1,2025Q2,Vertex Industries Co,58Y40VFQQ,ADD,56473,57965
Meridian Peak Capital Management,2025Q1,2025Q2,Cirrus Foods Corp,E8W8D72U6,ADD,31050,33585
Meridian Peak Capital Management,2025Q1,2025Q2,Onyx Systems Co,40L5VMU6J,ADD,19451,20090
Meridian Peak Capital Management,2025Q1,2025Q2,Basalt Micro Co,7HUB74X8V,ADD,14509,33101
Meridian Peak Capital Management,2025Q1,2025Q2,Zephyr Materials Ltd,E1C310TAQ,ADD,12629,14803
Meridian Peak Capital Management,2025Q1,2025Q2,Cirrus Foods Inc,Q2FZ82Q1R,ADD,4175,4283
Meridian Peak Capital Management,2025Q1,2025Q2,Cobalt Systems PLC,8PAB9DRB5,ADD,30439,30663
Meridian Peak Capital Management,2025Q1,2025Q2,Basalt Foods Ltd,ZACBZHNO7,TRIM,19860,18593
Meridian Peak Capital Management,2025Q1,2025Q2,Lumen Semiconductor Ltd,J5LWL04EJ,TRIM,6365,5699
Meridian Peak Capital Management,2025Q1,2025Q2,Sable Motors Group,98N7HFZ6G,TRIM,33638,32257
Meridian Peak Capital Management,2025Q1,2025Q2,Fable Robotics PLC,LS4DT2K9F,NEW,0,25258
Meridian Peak Capital Management,2025Q1,2025Q2,Marlin Dynamics Ltd,DFMGFY63T,TRIM,13597,12502
Meridian Peak Capital Management,2025Q2,2025Q3,Cedar Energy Corp,7UJ27ZYBN,NEW,0,33241
Meridian Peak Capital Management,2025Q2,2025Q3,Lumen Motors Corp,SX386897R,NEW,0,10674
Meridian Peak Capital Management,2025Q2,2025Q3,Copper Systems PLC,WLU7MFX0U,ADD,89318,191389
Meridian Peak Capital Management,2025Q2,2025Q3,Copper Robotics Inc,ZPO3B7PU8,ADD,7150,7592
Meridian Peak Capital Management,2025Q2,2025Q3,Sable Systems Ltd,QPH9E29MS,ADD,96149,101857
Meridian Peak Capital Management,2025Q2,2025Q3,Vertex Health Co,7ZLEWKDCP,ADD,8585,9918
Meridian Peak Capital Management,2025Q2,2025Q3,Lumen Systems Corp,D78MFRF4F,TRIM,6599,6458
Meridian Peak Capital Management,2025Q2,2025Q3,Aster Micro Group,FCGZIWI3B,TRIM,1070,543
Meridian Peak Capital Management,2025Q2,2025Q3,Zephyr Industries Co,NTL2E1KTK,EXIT,3356,0
Meridian Peak Capital Management,2025Q2,2025Q3,Quill Analytics Co,NU7IDBR4S,EXIT,6339,0
Meridian Peak Capital Management,2025Q2,2025Q3,Bright Motors Group,OHU89X4E4,ADD,7769,22789
Meridian Peak Capital Management,2025Q2,2025Q3,Pinnacle Analytics Corp,CB79HC2Y8,ADD,7206,16094
Meridian Peak Capital Management,2025Q2,2025Q3,Onyx Industries Inc,3HILY6I06,ADD,10365,10554
Meridian Peak Capital Management,2025Q2,2025Q3,Zephyr Materials Inc,C8PF5IU2U,ADD,3018,3337
Meridian Peak Capital Management,2025Q2,2025Q3,Cobalt Micro PLC,DX9J3AVYW,ADD,8156,8275
Meridian Peak Capital Management,2025Q2,2025Q3,Nova Analytics Ltd,CS8KWJ20I,TRIM,3972,850
Meridian Peak Capital Management,2025Q2,2025Q3,Drift Dynamics PLC,5GYFQWLY6,EXIT,4649,0
Meridian Peak Capital Management,2025Q2,2025Q3,Cedar Industries Co,0C9QYEL4U,TRIM,250128,239428
Meridian Peak Capital Management,2025Q2,2025Q3,Onyx Holdings PLC,NQQULCQYB,TRIM,33942,32073
Meridian Peak Capital Management,2025Q2,2025Q3,Marlin Holdings Ltd,7M7E2CQWH,TRIM,2278,2180
Meridian Peak Capital Management,2025Q2,2025Q3,Terra Analytics Corp,R4SQPR953,TRIM,14071,13557
Meridian Peak Capital Management,2025Q2,2025Q3,Zephyr Systems Ltd,XBD3A04GE,NEW,0,4777
Meridian Peak Capital Management,2025Q2,2025Q3,Halcyon Semiconductor Group,KIK6CQODD,ADD,14487,14916
Meridian Peak Capital Management,2025Q2,2025Q3,Onyx Therapeutics Group,5QDNT0U9N,TRIM,792,750
Meridian Peak Capital Management,2025Q2,2025Q3,Terra Holdings Group,YP72EM277,ADD,18388,20001
Meridian Peak Capital Management,2025Q2,2025Q3,Quill Energy Inc,YTHF7R2UF,TRIM,4115,3669
Meridian Peak Capital Management,2025Q2,2025Q3,Pinnacle Semiconductor Group,MKJOTE8L8,ADD,30548,34487
Meridian Peak Capital Management,2025Q2,2025Q3,Sable Foods Co,L8SGBI2BF,ADD,2340,2545
Meridian Peak Capital Management,2025Q2,2025Q3,Fable Cloud Group,CEFX3OILC,ADD,2622,2829
Meridian Peak Capital Management,2025Q2,2025Q3,Quill Software Inc,7IBWMKW1Z,TRIM,5768,5366
Meridian Peak Capital Management,2025Q2,2025Q3,Vantage Systems Corp,Q8HXZ554L,TRIM,20465,20264
Meridian Peak Capital Management,2025Q2,2025Q3,Pinnacle Semiconductor Ltd,P4OJLBI2R,ADD,2377,5094
