manager,quarter,nameOfIssuer,titleOfClass,cusip,value_usd_thousands,sshPrnamt,sshPrnamtType,investmentDiscretion,votingAuthoritySole
Meridian Peak Capital Management,2025Q1,Basalt Foods Ltd,COM,ZACBZHNO7,19860,268996,SH,SOLE,268996
Meridian Peak Capital Management,2025Q1,Cedar Industries Co,COM,0C9QYEL4U,97598,605221,SH,SOLE,605221
Meridian Peak Capital Management,2025Q1,Vertex Industries Co,COM,58Y40VFQQ,56473,169492,SH,SOLE,169492
Meridian Peak Capital Management,2025Q1,Cirrus Foods Inc,CL A,Q2FZ82Q1R,4175,10644,SH,SOLE,10644
Meridian Peak Capital Management,2025Q1,Copper Systems Ltd,CL A,J9H15WQ7V,12251,28050,SH,SOLE,28050
Meridian Peak Capital Management,2025Q1,Marlin Holdings Ltd,CL A,7M7E2CQWH,2206,20128,SH,SOLE,20128
Meridian Peak Capital Management,2025Q1,Lumen Systems Corp,CL A,D78MFRF4F,6883,983286,SH,SOLE,983286
Meridian Peak Capital Management,2025Q1,Onyx Holdings PLC,CL A,NQQULCQYB,35894,80568,SH,SOLE,80568
Meridian Peak Capital Management,2025Q1,Sable Motors Group,ADR,98N7HFZ6G,33638,110706,SH,SOLE,110706
Meridian Peak Capital Management,2025Q1,Terra Holdings Group,ADR,YP72EM277,31248,256594,SH,SOLE,256594
Meridian Peak Capital Management,2025Q1,Granite Semiconductor Co,COM,H8BZP9SGM,12408,102920,SH,SOLE,102920
Meridian Peak Capital Management,2025Q1,Pinnacle Analytics Corp,COM,CB79HC2Y8,7482,24381,SH,SOLE,24381
Meridian Peak Capital Management,2025Q1,Vertex Health Co,CL A,7ZLEWKDCP,4358,40210,SH,SOLE,40210
Meridian Peak Capital Management,2025Q1,Zephyr Industries Co,COM,NTL2E1KTK,3407,18965,SH,SOLE,18965
Meridian Peak Capital Management,2025Q1,Pinnacle Semiconductor Ltd,COM,P4OJLBI2R,2376,26368,SH,SOLE,26368
Meridian Peak Capital Management,2025Q1,Lumen Capital PLC,COM,8P5RFATUI,13179,27662,SH,SOLE,27662
